a 啊
aq 安全
av 按照
ap 安排
ac 按错
au 按时
aj 安静
ag 昂贵
ad 安定
aw 安慰
ax 爱惜
ab 安保
af 安分
ak 拗口
al 按理
ar 黯然
as 爱死
at 凹凸
ay 安逸
az 暗自
am 暧昧
ae 挨饿
adl 按道理
ahv 爱好者
b 不
bx 必须
bt 不同
bv 保证
bq 并且
by 必要
bz 不再
bs 比赛
bl 本来
br 不然
be 不饿
baq 不安全
bbl 八百里
bcl 不错了
bdb 不得不
bdd 不单单
bdj 不对劲
bdq 不定期
bdw 本单位
bdx 北斗星
bdy 不等于
bdz 半吊子
bfq 不服气
bfx 不放心
bfy 暴风雨
bhl 不合理
bjg 不及格
bjh 比较好
bjj 不仅仅
bjq 不久前
bju 北京市
bjx 百家姓
bjy 不经意
bjz 败家子
bky 不可以
blu 不论是
blw 芭蕾舞
blz 伯利兹
bmb 不明白
bmy 并没有
bnv 白内障
bpi 不排除
bps 不怕死
bpu 白皮书
bqy 不起眼
brh 白热化
brv 不认账
brx 必然性
btl 别提了
btq 不听劝
btx 不太像
bud 辨识度
buh 不适合
buw 不失为
buy 不适应
bvh 标准化
bvw 不指望
bvy 不至于
bwg 博物馆
bwv 保卫战
bxb 便携版
bxu 半小时
bxx 不小心
byc 贬义词
byx 不允许
byy 不一样
bzy 不在意
c 才
cn 才能
cw 错误
cq 采取
ck 参考
cl 从来
cm 聪明
cb 从不
ct 从头
cx 才行
cp 存盘
chl 词汇量
cub 测试版
cvy 侧重于
d 的
db 代表
df 地方
dx 东西
dl 到了
dt 代替
dbi 打不出
dbt 大白天
dcl 打错了
ddl 得到了
ddt 点点头
ddv 多动症
dfu 电风扇
dgb 打个包
dgn 多功能
dgs 打官司
dhe 等会儿
dhi 大合唱
dil 洞察力
djh 大家好
djt 第几天
dju 倒计时
dkl 抵抗力
dkn 都可能
dmc 代名词
dmt 多媒体
dmv 大拇指
dne 低能儿
dny 东南亚
dpd 大排档
dqx 地区性
drw 大人物
dsb 第三遍
dsf 第三方
dsv 第三者
dtb 跌停板
dtl 到头来
dub 大手笔
duc 多少次
dur 多少人
dvh 大众化
dvx 大中型
dxq 掉下去
dyv 大洋洲
dyx 等一下
dyy 得益于
dzh 大杂烩
dzk 丁字裤
dzl 肚子里
dzy 打字员
e 二
eu 而是
eq 而且
et 儿童
ey 而已
ez 儿子
eg 恶搞
eb 而不
ej 耳机
ek 儿科
el 恶劣
ev 二者
ew 额外
ef 而非
ed 恶毒
em 噩梦
ec 恩赐
ea 恩爱
es 饿死
ex 恶心
ep 恶评
oe 偶尔
f 发
fm 方面
fx 发现
fi 非常
fb 方便
fy 反应
fp 分配
fq 放弃
ft 繁体
fd 反对
fe 反而
fr 否认
fs 放松
fk 反馈
fn 烦恼
fv 反正
fc 讽刺
fl 分类
fbk 放不开
fbm 方便面
fdj 发动机
ffv 分分钟
fhl 肺活量
fjx 分界线
fqw 废弃物
fwx 服务性
fzr 负责人
g 个
gn 功能
gi 过程
gb 根本
gq 过去
gt 沟通
gp 公平
gm 干嘛
gbm 各部门
